Name,Phone number,address
Hotel Saravana Bhavan,"""+(91)-011-41322929""","Food Court, Select Citywalk Mall, Saket, Delhi - 110017"
Annapurna Restaurant,"""+(91)-11-23857545""","Shop No-1811, Chandrawal Road, Malka Ganj, Delhi - 110007, Opposite Sethi Bakery"
Naivedyam Restaurant,"""+(91)-0124-4333215""","G-11, Vipul Plaza, Golf Course Road, Suncity, Gurgaon - 122011, Sector 54"
Udupi Krishna Restaurant,"""+(91)-11-23843264""","F-45, Kohlapur Road, Kamla Nagar, Delhi - 110007, Near Spark Mall"
Apni Rasoi,"""+(91)-11-47083842""","E -20/226, 2/3 Dividing Road, Rohini Sector 3, Delhi - 110085, Near Dawar Shoes & Travels"
Bangla Sweets,"""+(91)-11-25106533""","Shop Number A-2, Najafghar Road, Kirti Nagar, Delhi - 110015, Opposite Metro Pillar No-329"
Apni Rasoi,"""+(91)-9711746204""","Shop No- A2., Main Road., Ganesh Nagar, Delhi - 110092, Near D Park."
Karnataka Restaurant,"""+(91)-124-4045451""","Sco-82-83, Palam Vihar Road, Service Road, Gurgaon Sector 22, Gurgaon - 122015, Upper Dominoz"
Sagar Ratna,"""+(91)-011-26899700""","5/5 A, Basement, Vasant Kunj, Delhi - 110070, Central Market, Masoodpur, Opposite Basant Squre Mall"
Swastik Restaurant,"""+(91)-11-65807019""","Shop Number GS 70, Sewak Park, Dwarka More, Delhi - 110059, Near Dwarka More Metro Station"
Sagar Ratna,"""+(91)-11-22751576""","A-1, First Floor, Mayur Vihar Phase 1, Delhi - 110091, Near Sheetla Mata Mandir, Acharya Niketan, Pandav Nagar"
Anupam Sweet House31,"""+(91)-9810796081""","Ch. Hetram Complex , Pills Kothi, Sector 30-31 Dividing Road, Sector 31, Faridabad - 121003"
Pakwan,"""+(91)-0124-4051351""","Plot Number 164/11, Old Railway Road, Shivpuri, Gurgaon - 122006, Near Raj Bakery"
Kadimi Foods Pvt Ltd,"""+(91)-011-42770202""","Pocket-4, Second Floor, Plot Number-7, Above HDFC Bank, Dwarka Sector 11, Delhi - 110075, Near Kargil Chowk"
Grover Sweets,"""+(91)-11-25358272""","Plot Number-1, Dwarka More, Delhi - 110059, Near Metro Pillar No - 781,  Diwan Estate, Bhagwati Garden"
Ramesh Vaishno Dhaba,"""+(91)-9873778861""","House Number 11, Shivpuri-chandar Nagar, Delhi - 110051, Near Dominos Pizza"
Veg Gulati,"""+(91)-11-23388830""","Shop Number 8, Near By India Gate, Pandara Road, Delhi - 110003, Opposite Bikaner House, Near India Gate"
Sattvik Restaurant,"""+(91)-11-40599913""","S- 05, Second Floor, Select City Walk Mall, Saket, Delhi - 110017, A3 District Centre"
Sagar Ratna,"""+(91)-11-47070215""","Fd-02, Upper Ground Floor, Pitampura, Delhi - 110034, Near Metro Station Gate Number-3, Madhuban Chowk"
Kake Di Hatti,"""+(91)-011-47321080""","Shop Number-G 20, Vijay Nagar, Delhi - 110009, Near NDPL Office"
The Karnataka,"""+(91)-11-29531641""","A- 89 & 90, Ignou Road, Neb Sarai, Delhi - 110068, Near Freedom Fighter Colony, Near Sainik Farm"
Dilli Darbar Food Pvt Ltd,"""+(91)-9210161500""","No C 448, Main 100 Feet Road, Shahdara, Delhi - 110032, Opposite Rajiv Raj Bajaj Showroom"
Govindas Restaurant,"""+(91)-11-41094042""","Iskcon Temple Complex, Sant Nagar Main Road, East Of Kailash, Delhi - 110065, Near"
Wah Ji Wah Restaurant,"""+(91)-9205200205""","Shop No 142, Rohini Sector 24, Delhi - 110085, Near Canara Bank Pocket 26"
Mohan Dhaba,"""+(91)-9910252976""","Plot No -629, Main Road, Vaishali Sector 5, Ghaziabad - 201010, Near Ramprastha Greens"
Shudh Restaurant,"""+(91)-11-45000355""","17 A/32, Gurudwara Road, Karol Bagh, Delhi - 110005, Opposite Jessa Ram Hospital"
Imly Courtyard,"""+(91)-8510900070""","B1/1, Ashok Vihar 1, Delhi - 110052, Near Satyawati Collage"
A2B Veg Restaurant,"""+(91)-11-26532691""","S 18, Green Park, Delhi - 110016, Main Market"
Simply South,"""+(91)-0120-6692259""","Shop Number-1, Jagat Farm, Gamma 1-Greater Noida, Noida - 201310, Near Gamma-1,Jagat Farm"
Chatore.e.e A Pure Vegetari..,"""+(91)-9873375007""","G-7, Vardhman Century Plaza, GU Block, Pitampura, Delhi - 110034, Near Maharaja Aggrasain Public School"
Shubham Restaurant,"""+(91)-11-22139000""","A-4, Main Mandoli Road, Mandoli Saboli, Delhi - 110093, Near Nathu Colony Chowk"
Mysore Cafe,"""+(91)-11-23013750""","Shop No-12, Defence Headquarter, Delhi - 110011, South Avenue Market"
Bhaja Govindam Restaurant,"""+(91)-11-40634721""","Delite Cinema Building Number-4/1,Ground Floor,Delite Cinema, Delite Cinema Building Asaf Ali Road, Asaf Ali Road, Delhi - 110002, Opposite Gb Pant Hospital"
Dharma Vaishno Dhaba,"""+(91)-129-2280101""","Mathura Road HIGHWAY, Faridabad Sector 12, Faridabad - 121007, Near City Mall"
Smelling Salts,"""+(91)-11-47775012""","C-2/13, Phase 2, Ashok Vihar 2, Delhi - 110052, Near Bata Showroom"
Sagar Ratna Restaurant,"""+(91)-11-42473769""","101, 1st Floor, Plot Number-22, Bazaar Marg, Old Rajender Nagar, Delhi - 110060, Above Dominos Pizza, Near Metro Pillar No111"
Wah Ji Wah Restaurant,"""+(91)-8527746288""","Shop No G 3, Sachdeva Plaza, Mayur Vihar Phase 2, Delhi - 110091, Near Neelam Mata Mandir"
Wah Bhai Wah Restaurant,"""+(91)-9250179212""","A-1/168-169, Main Road, Rohini Sector 4, Delhi - 110085, Near Saint Giri School"
Eleven To Eleven Restaurant,"""+(91)-011-42111856""","R- 1, 3rd Floor,Cross River Mall, Karkardooma, Delhi - 110092, Near Karkardooma Court"
M Dosa Express,"""+(91)-9990111058""","E-56, Jail Road, Delhi - 110058, Opposite Fateh Nagar Gurudwara"
Seasonings The Spice Myster..,"""+(91)-11-45613555""","B 1/6, Ground Floor, Chaudhary Gulab Singh Marg, Ashok Vihar 2, Delhi - 110052, Near Satyawati College"
Bunty Dhaba,"""+(91)-11-22376270""","G8, Aditya Corporate Plaza, Karkardooma, Delhi - 110092, Near Community Centre"
Bunty Dhaba,"""+(91)-011-22371518""","G-8,Aditya corporate plaza community center, Main road, Karkardooma, Delhi - 110092, Near Karkardooma Metro Station,Dayanand Vihar"
Vaishno Punjabi Dhabha,"""+(91)-11-32559590""","E 16/289, Rohini Sector 8, Delhi - 110085, Near M2k Rohini"
Carnatic Cafe,"""+(91)-11-41708631""","M-21, Greater Kailash 2, Delhi - 110048, M Block Market"
Mainis Green Leaf,"""+(91)-120-2773100""","Shop No-3, Ground Floor, Kaushambi Metro Station Building, Kaushambi, Ghaziabad - 201012"
Raj Bhog Food India,"""+(91)-7428750009""","12 Inder Enclave, Main Rohtak Road, Inder Enclave, Delhi - 110087, , Opposite Udyog Nagar and Near Metro Pillar No-311"
Honeys Veg,"""+(91)-7999799911""","Shop No.105, On Road, Dr Mukherjee Nagar, Delhi - 110009, Bhai Parmanand Colony, Near Batra Cinema"
Darbar Restaurant,"""+(91)-11-23547777""","8956, Pahar Ganj, Delhi - 110055, Opposite Bikaner Sweets, Chowk Multani Dhanda"
Ashirwad Restaurant,"""+(91)-0129-2261222""","Sco-18-19-20, Faridabad Sector 16, Faridabad - 121002, Near Laxmi Narayan Mandir"
Dilli Light Chur Chur Naan,"""+(91)-0124-4833348""","Sco 40, Gurgaon Sector 31, Gurgaon - 122001, Near Om Sweets, Huda Market"
Rajbhog Restaurant,"""+(91)-011-66103607""","21-A, Main 40 Feet Road, Jain Nagar, Delhi - 110081, Opposite Rohini Sector 22"
Pummy Paradise Restaurant P..,"""+(91)-11-33106262""","14 A, Pocket I, Dilshad Garden, Delhi - 110095, Opposite Pummy Sweets, Pocket I"
Sagar Ratna,"""+(91)-11-41040435""","Shop Number B1/H9, Mathura Road, Delhi - 110044, Near Haldirams"
Udupi Cafe,"""+(91)-11-23353666""","5, Pratap Bhawan, Bahadur Shah Zafar Marg, Ito, Delhi - 110002"
Bite Bikaner,"""+(91)-11-41574670""","Shop Number-C-1/1, Janakpuri, Delhi - 110058, Opposite Mata Chandan Devi Hospital"
Sukhsagar Vaishno Hotel,"""+(91)-9991887686""","Bilaspur Gurgaon, Gurgaon - 122413, Near Bilaspur Chowk, National HIghway 8 .old Bharat Ptrol Pump"
Dau Ji Sweets And Restauran..,"""+(91)-9818848530""","Shop Number 19-20, Roshan Lal Plaza, Noida Sector 2, Noida - 201301, Near Yatharth Hospital"
Vikrant Cafe,"""+(91)-011-23845846""","13-A, G T Road, Kamla Nagar, Delhi - 110007, Opposite Birla Mill"
Wah Ji Wah Restaurant,"""+(91)-011-22810900""","Shop Number 7-8, 1449/B-1, Main 100 Feet Road, Durgapuri-shahdara, Delhi - 110032, Opposite MBO Mall"
Mitra Da Dhaba,"""+(91)-011-42415002""","X-57, Ground Floor, West Patel Nagar, Delhi - 110008, Near Kalinga Chowk"
Shri Kanha Restaurant,"""+(91)-9891993877""","Shop No 1, Beta 1-greater Noida, Noida - 201310, Near Rampur Jahangir, Cm Market, Near Authority Gol Chakkar"
Da Pizza Palace,"""+(91)-7840095042""","A-6, Main Kanjawala Road, Budh Vihar, Delhi - 110086, Near Anupam Vatika, Krishna Vihar"
Suvidha Vegetarian Restaura..,"""+(91)-011-23272981""","Shop Number 3058, Netaji Shubash Marg, Darya Ganj, Delhi - 110002, Near Golcha Parking"
Radha Krishna Choley Bhatur..,"""+(91)-9654634559""","115, Priya Enclave, Karkardooma, Delhi - 110092, Opp AGCR Enclave Karkardooma Court"
Ram Ji Di Hatti & Caterers,"""+(91)-9650438007""","BE-324, Gali No-4, Hari Nagar, Delhi - 110064, Opposite MIG Flats"
Maini Restaurant,"""+(91)-120-2643500""","Shop No-4-5, Surya Nagar, Ghaziabad - 201011, A-Block Market, Right Opposite Vivek Vihar"
Ridhi Sidhi Family Restaura..,"""+(91)-9899590049""","449/450, Bhim Nagar, Gurgaon - 122001, Near Ramleela Ground"
Madan Sweet & Food Point,"""+(91)-0120-6514234""","Shop Number 126, Nehru Nagar, Ghaziabad - 201001, Opposite J K Complex"
Raina Di Hatti,"""+(91)-0129-4168111""","12/2, Shop Number 23, 24, 25, Main Mathura Road, Faridabad Sector 37, Faridabad - 121003, Opposite Metro Pillar Number-75"
The Mint Restaurant,"""+(91)-11-45605355""","Manish Link Road Plaza, Dwarka Sector 5, Delhi - 110075, Near Ashirwad Chowk"
Shakahari Restaurant,"""+(91)-11-23277336""","Shop Number 3624/9, Chawri Bazar, Delhi - 110006, Near Metro Station"
Sagar Ratna,"""+(91)-120-4262626""","Omaxe NRI City Centre, Knowledge Park 1-Greater Noida, Noida - 201310, Near Pari Chowk , Greater Noida"
Sagar Ratna,"""+(91)-0120-4276140""","C-18B, Astoria Boulevard Mall, Rdc-Raj Nagar Ghaziabad, Ghaziabad - 201002, Near Hint Chowk"
Apni Rasoi,"""+(91)-9899775278""","Shop No-3767-A/2, Main Road, Tri Nagar, Delhi - 110035, Opposite Kanhiya Nagar Metro Station"
Laddu Gopal Restaurant,"""+(91)-9868827614""","Shop No-727, Old Railway Road, Bhim Nagar, Gurgaon - 122001, Near Auto Parts Market"
Khana Khazana Restaurant,"""+(91)-9250922900""","B-4/158, Dividing Road, Rohini Sector 7, Delhi - 110085, Near M B Jewellers"
Chawla De Mashhoor Special ..,"""+(91)-11-20023717""","8955, Chowk Multani Dhanda, Pahar Ganj, Delhi - 110055, Opp Bikaner"
Hotel Milan Plaza,"""+(91)-129-2290074""","Scf 1 & 2, Faridabad Sector 11, Faridabad - 121006, Nr,Escort Mujesar Metro Station"
Sagar Ratna,"""+(91)-011-41610698""","C-32, Amar Colony-lajpat Nagar, Delhi - 110024, Near Main Market"
Rasoi Delivery,"""+(91)-9910009107""","5/5,Gaur Galaxy, Main Road, Vaishali Sector 5, Ghaziabad - 201010, Near Shopprix Mall"
Kathputli Restaurant,"""+(91)-11-41552046""","Shop No-35, Defence Colony, Delhi - 110024, Defence Colony Market"
Fauji Da Dhaba,"""+(91)-9991800597""","54 , Milestone , NH-8, Manesar, Gurgaon - 122052, Near Raj Riffles Centre , Gurgaon"
Bunty Punjabi Chole Bhature..,"""+(91)-9911448778""","52, Nyay Khand-2, Kala Pathar Road, Indirapuram, Ghaziabad - 201014, Opp.Mahagun Mension"
Kake Di Hatti (D Mall),"""+(91)-11-43090359""","G 21,D Mall, Netaji Subhash Place Complex-pitampura, Delhi - 110034"
Tite Da Dhaba,"""+(91)-7678229401""","Shop Number-B595., Shivji College Road, Raghubir Nagar-tagore Garden Extension, Delhi - 110027, Near Mehta Chowk."
Sham Sweets & Snacks,"""+(91)-124-2335588""","Shop Num289/2, Old Delhi Road, Gurgaon Sector 14, Gurgaon - 122007, Near Telephone Exchange, Opposite Basant Apartment"
Rajan Corner,"""+(91)-9650069178""","Building 6/27, Moti Nagar, Delhi - 110015"
Panchavati Gaurav Restauran..,"""+(91)-0124-4949634""","Shop No 20 & 21, Ground Floor, Dlf Cyber City, Gurgaon - 122002, Cyber Hub, National Highway 8"
Dilli Treat,"""+(91)-11-45506767""","B-2, Upper Ground Floor, New Rajender Nagar, Delhi - 110060, Near DDA Market"
Southy,"""+(91)-011-40254822""","Shop 9 , Ground Floor , Arunachal Building, Connaught Place, Delhi - 110001"
Moti Mahal Delux,"""+(91)-011-45768383""","Plot Number-240, H-17, Rohini Sector 7, Delhi - 110085, Opp Metro Pillar No 421"
Sagar Ratna,"""+(91)-011-42230207""","Shop Number E-8, Naraina Vihar, Delhi - 110028, Near PVR Priya Cinema and Axis Bank"
Wah Ji Wah Restaurant,"""+(91)-011-40044715""","Plot No 150, Rohini Sector 24, Delhi - 110085, Near By Babosa Chowk, Pocket 16"
Krishnam Restaurant,"""+(91)-0120-2764424""","H 432, H Block, Govindpuram, Ghaziabad - 201013, Near Gaur Square Mall"
Burma Burma (DLF Mall Of IN..,"""+(91)-0120-4372997""","Shop D 420B , Third Floor , DLF Mall Of India , Plot M-03, Noida Sector 18, Noida - 201301"
Indishh Barbeque & Grill,"""+(91)-8929625729""","Ambience Mall, T-315 3rd Floor, DLF City Phase 3, gurgaon - 122010"
Sanjay Chur Chur Naan,"""+(91)-9205052938""","Shop No- 6 & 7, Moolchand Metro Station Building, Main Road, Lajpat Nagar, Delhi - 110024, Near Under Metro"
Wah Ji Wah Restaurant,"""+(91)-9211114155""","Plot Number E-82, Shastri Nagar N, Delhi - 110052, Near Punjab National Bank & Metro Pillar Number 174"
Apna Dhaba,"""+(91)-11-28544640""","Shop Number-29-31, Gg-1, Vikaspuri, Delhi - 110018, Near Main Market"
Flavor Of Southwala,"""+(91)-011-49540022""","D-355, Vikas Marg, Laxmi Nagar, Delhi - 110092, Near Metro Station Gate No5"
Papa Chinese Foods,"""+(91)-11-66434432""","Shop Number-26/1, Jail Road, Ashok Nagar, Delhi - 110018, Near Tilak Nagar Metro Station"
Balaji Rasoi,"""+(91)-011-22015197""","C-8, Main Road, Laxmi Nagar, Delhi - 110092, Near Guru Ram Das Nagar"
Manpasand Restaurant,"""+(91)-124-4100849""","Shop Number 2 and 3, Palam Vihar Road, Gurgaon Sector 22, Gurgaon - 122015, Opposite Rotary Public School"
Sagar Ratna Restaurant,"""+(91)-11-41089050""","Shop Number-25,26,27, Dda Local Shopping Center, Greater Kailash Enclave 2, Delhi - 110048, Near Masjid Moth and HDFC Bank"
Mitra Da Dhaba,"""+(91)-7840090070""","Shop No-1/124, Sankar Road, Old Rajender Nagar, Delhi - 110060, Opposite PNB Bank"
Punjabi Zaika Vg,"""+(91)-11-64648001""","3539 A Raja Park, Rani Bagh, Delhi - 110034, Near Mahendra Park Chowk & Opposite Bikaner"
The Vilayati Dhaba,"""+(91)-9643027320""","857, Dr Mukherjee Nagar, Delhi - 110009, Near Batra Cinema"
Udupi Sai Sarovar Restauran..,"""+(91)-011-29841222""","Shop Number A-91B., Lajpat Nagar 2, Delhi - 110024, Near Style Shoes, Central Market"
Bikanervala Fine Dining Res..,"""+(91)-120-4811128""","Plot Number-6, Wave Silver Tower, First Floor, Noida Sector 18, Noida - 201301, Block-D, Near Mosaic Hotel and Noida Sector 18 Metro Station"
Tadka,"""+(91)-9811966531""","Shop Number 4986, Pahar Ganj, Delhi - 110055, Opposite Relax Hotel, Nehru Bazar"
Sagar Ratna,"""+(91)-120-4204347""","C 134 B, Ground Floor, Supertech Shopprix Mall, Noida Sector 61, Noida - 201307, Nr Kanchanjangha Maket"
Lala Ji Da Shudh Vaishno Dh..,"""+(91)-9871758758""","G-157, Main Najafgarh Road, Uttam Nagar, Delhi - 110059, Near Vishal Mega Mart, Opposite Metro Pillar No-676"
Santushti Vegetarian Restau..,"""+(91)-120-2440455""","Shop No 21,L Block Market, Noida Sector 11, Noida - 201301, Near Metro Hospital"
Bhukkad Gali,"""+(91)-11-49841400""","D-15/160,Ground Floor, Rohini Sector 3, Delhi - 110085, Near Ayodhya Chowk"
Shree Maakhan,"""+(91)-11-45873722""","Plot Number F  603, Dwarka Sector 7, Delhi - 110075, Near Ramphal Chowk, Palam Extension"
Punjabi Dhaba,"""+(91)-11-42051241""","Csc-5, Shop Number- 6/16, Rohini Sector 11, Delhi - 110085, Behind Veera Jain Hospital, Near D-3 DDA Market"
Govind Dhaba,"""+(91)-11-22585587""","Plot Number 4-A, Dilshad Garden, Delhi - 110095, Near H Pocket"
Bunty Chap Tandoori Junctio..,"""+(91)-0120-2790355""","3-B-2, Shop No-9-10, Nehru Nagar 3, Ghaziabad - 201001, Near Holy Child Chowk, B Block"
Rahul Rasoi Restaurant & Ca..,"""+(91)-11-25269088""","Shop No- 23/B-1,DDA Market, Paschim Vihar, Delhi - 110063, Near Main Market"
Singlas Restaurant,"""+(91)-7290063531""","1963/2, Narela, Delhi - 110040, Near Raghunath Mandir , Main Bazar"
Devirams,"""+(91)-0124-4690888""","Shop Number 88, Ground Floor, Eros City Square Mall, Gurgaon Sector 49, Gurgaon - 122018, Near Sector 50"
New Tera Hotel,"""+(91)-9311117677""","Shop No 4, Karol Bagh, Delhi - 110005, Gaffar Market"
Southy Restaurant,"""+(91)-11-41088644""","No 88/4, Aurobindo Marg, Adchini-sarvodaya Enclave, Delhi - 110017, Near Govardhan Restaurant"
Sabki Rasoi Madras Cafe,"""+(91)-9999682383""","Shop No B-173, B Block, Dwarka Sector 7, Delhi - 110075, Near Honda Showroom"
Town Darbar,"""+(91)-0129-4870505""","Plot Number 1g/47, Faridabad Nit, Faridabad - 121001, Near Kalyan Singh Chowk"
Amritsari Vaishno Dhaba,"""+(91)-7503831176""","Pillar No.782, Dwarka, Delhi - 110075"
Apni Rasoi,"""+(91)-11-32457368""","Shop Number-150, Pocket B 6, Rohini Sector 8, Delhi - 110085, Near Swimming Pool"
Shree Rathnam Restaurant Pv..,"""+(91)-11-42427771""","G-78, Preet Vihar, Delhi - 110092, Oppsoite Metro Pillar No-101"
Shree Rathnam Restaurant,"""+(91)-0120-7133022""","Shop Number-C-135,Indirapuram Habitat Center, Ground Floor, Ahinsa Khand 1-indirapuram, Ghaziabad - 201014, Near ATS Advantage"
New Kadimi Food Pvt Ltd,"""+(91)-11-45034900""","A-40, Rajouri Garden, Delhi - 110027, Near Vishal Enclave, Opposite TDI Mall"
Shree Rathnam Restaurant,"""+(91)-0120-2986772""","Shop No 19 & 20, Paramount Spectrum, Main Road, Crossing Republik, Ghaziabad - 201016, Near Abes Engineering College"
Punjabi Chulha,"""+(91)-8800304019""","Shop 16, , Sector 21 , Faridabad, Faridabad Sector 21, Faridabad - 121001, Near- Comissioner Office"
Angithi Pure Veg Soya Chaap,"""+(91)-9268880999""","E-48, Raj Nagar Ghaziabad, Ghaziabad - 201002, Near Sector 10 Market, Near Ramleela Ground"
Sagar Ratna Restaurant,"""+(91)-0120-4373126""","Galaxie Multiplex Shopping Mall, Main Link Road, Sahibabad Ho, Sahibabad - 201005, Opposite Supertech Apartment, Near Vaishali Metro Station"
Bengal Sweet Corner,"""+(91)-11-27417524""","36, Suman Tower, Central Market, Ashok Vihar 1, Delhi - 110052, Opposite Police Station"
Gupta Rasoi,"""+(91)-124-4011347""","Shop.no. Scf-57-58, Sector 17a, HUDA Market, Gurgaon Sector 17, Gurgaon - 122001, Near Axis Atm"
Karans Vaishno Dhaba,"""+(91)-11-25938873""","B-13 & 14, Ramesh Nagar, Delhi - 110015, Near Gol Chakkar, Tilak Market"
Apni Rasoi,"""+(91)-9911114789""","Shop No-301,302, Main Railway Road, Laxman Vihar, Gurgaon - 122001, Opposite Apna Enclave"
Dwarka Restaurant,"""+(91)-11-32972797""","X-59, Ground Floor, West Patel Nagar, Delhi - 110008, Near Kalinga Chowk"
New Chappan Bhog,"""+(91)-011-22910558""","C-3/157, Main Road, Yamuna Vihar, Delhi - 110053, Near Jain Mandir"
Anand vaishno Dhaba,"""+(91)-9873489895""","Shop No Wz 53, Dayalsar Road, Uttam Nagar, Delhi - 110059, Near Adarsh Model School"
Shree Rathnam,"""+(91)-120-33058329""","Shop no-1, KSN Square, Vasundhara Sector 3, Ghaziabad - 201012, Near Vishal Mega Mart"
Shubham Eating Corner,"""+(91)-11-22523326""","Shop Number B-19/A, Main Vikas Marg, Shakarpur, Delhi - 110092, Near Metro Pillar Number- 43"
Carnatic Cafe,"""+(91)-9667180466""","32nd Milestone , NH 8, Gurgaon Sector 14, Gurgaon - 122007"
Aashirwad Restaurant,"""+(91)-011-41112703""","Shop No B -31/125,Gurunanak Pura, Mangal Bazar ROAD, Laxmi Nagar, Delhi - 110092, Behind Maharaja Banquet"
Pummy Food Zone,"""+(91)-11-47580505""","Shop No 15, Main Road, Dilshad Garden, Delhi - 110095, Near Shani Mandir, O & P Market"
Rumours,"""+(91)-9716428428""","288,  AGCR Enclave, Karkardooma, Delhi - 110092"
Chef Panda,"""+(91)-9540395888""","Shop Number- 5 & 6, 1st Floor, Main Meerut Byepass Road, Raj Nagar Extension Ghaziabad, Ghaziabad - 201017, Near Ajnara Interigrity Building"
Wah Ji Wah Restaurant,"""+(91)-9911975558""","Plot Number- 5, Naveen Park, Sahibabad - 201005, Opposite Rajendra Nagar Sector-5"
Shree Rathnam (Vvip Style M..,"""+(91)-9773611771""","Vvip Style Mall, 1st Floor, Shop No. 130 to 135, Meerut By Pass Road, Raj Nagar Extension Ghaziabad, Ghaziabad - 201017, Hira Sweets"
Chadha Bhojnalaya,"""+(91)-11-27129125""","B-3/24, Main Road, Model Town 1, Delhi - 110009, Near Model Town Metro Station"
Kamal Dhaba,"""+(91)-0120-2882567""","B-19,Mela Plaza, Vasundhara Sector 16, Ghaziabad - 201012, Near Rahul Dairy"
Firangi Cafe,"""+(91)-9999831234""","Shop 2, 183/1, Sector 28 , Faridabad, Main Link Road, Faridabad Sector 28, Faridabad - 121008"
Chilliz,"""+(91)-011-45150444""","Shop No-G-12, Gujranwala Town, Delhi - 110009, Near Bablu Kabab"
Angna Veg Restaurant,"""+(91)-9999564438""","Shop No 40 , 1st Floor , D -Block Market, Pitampura, Delhi - 110034, Pushpanjali Enclace"
Ashu Bhature Wala,"""+(91)-9899252699""","150, Rohini Sector 8, Delhi - 110085, Near Kendriya Vidyalaya"
Rajasthani Jeeman Restauran..,"""+(91)-8957318929""","Plot Number.218, Shakti Khand 2-Indirapuram, Ghaziabad - 201014, Opp D-mall"
Anna,"""+(91)-9911006611""","SF-10 2nd Floor, Ansal Palza, Main Road, Palam Vihar, Gurgaon - 122017"
Shri Hari Restaurant,"""+(91)-011-46540333""","Shop Number J-30B, Main Market Road, Lajpat Nagar 2, Delhi - 110024, Near Center Market"
Khana Khazana Restaurant,"""+(91)-11-25396000""","B-24A, Mahavir Enclave, Delhi - 110045, Near Sector-1A, Dashrath Puri"
Haveli Restaurant,"""+(91)-120-4160020""","SHOP NO.-28,29,31 Express Garden Market, Shipra Mall Road, Vaibhav Khand-indirapuram, Ghaziabad - 201014, Near Shipra Mall Opposite Habitat Center"
Gyans Restaurant,"""+(91)-011-25815281""","Shop  No 28/10, East Patel Nagar, Delhi - 110008, Near Central Market, Opposite Neel Kanth Mandir"
Shree Durga Dosa Corner,"""+(91)-011-25268788""","Gh - 14,561, DDA Market, Paschim Vihar, Delhi - 110063"
Malik Vegetarian Restaurant,"""+(91)-8471022254""","13/4A Ward No-1, Mehrauli, Delhi - 110030, Near Mehruli Bus Terminal, Mehrauli Market"
